Periodo,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Total de la actividad econ�mica Morelos ",1.258495984,1.223957579,1.283211267,1.207186688,1.187876019,1.178055781,1.23345253,1.219199987,1.17424359,1.138733213,1.164294375,1.155540081,1.130754092,1.144775516,1.172768262,1.137463816
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Total de la actividad econ�mica Nayarit ",0.605976262,0.665707642,0.676294036,0.661568863,0.643133791,0.68245887,0.681673274,0.681322493,0.676966503,0.653232239,0.662468692,0.678319921,0.687979697,0.703505898,0.698219533,0.680654752
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Total de la actividad econ�mica Nuevo Le�n ",6.400842401,6.51185291,6.633632281,6.79643841,7.047872906,7.084524131,6.980419084,7.142946202,7.191630113,7.218056547,7.191889238,7.226969976,7.407273547,7.405533314,7.539316043,7.647787652
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Total de la actividad econ�mica Oaxaca ",1.616070042,1.614912601,1.600851584,1.564981476,1.542080851,1.573544517,1.644942171,1.589205523,1.579450461,1.553238851,1.569532332,1.557457202,1.571906669,1.510846924,1.445593629,1.471182603
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Total de la actividad econ�mica Puebla ",3.152352441,3.110241912,3.207882948,3.210028603,3.267879558,3.256109115,3.169411928,3.274489411,3.316482721,3.397228385,3.319498525,3.27500779,3.26069512,3.269880423,3.399231122,3.410205079
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Total de la actividad econ�mica Quer�taro ",1.688868039,1.746400565,1.822866796,1.855151475,1.905522698,1.932605073,1.980514105,2.002474539,2.076293702,2.062695394,2.045627467,2.132713568,2.185957364,2.225507106,2.279943189,2.297009852
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Total de la actividad econ�mica Quintana Roo ",1.148433891,1.202554292,1.226289142,1.251595141,1.353292408,1.409581418,1.360377381,1.359694678,1.38516178,1.397900172,1.440121088,1.451733855,1.4721962,1.539801698,1.570771613,1.616098887
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Total de la actividad econ�mica San Luis Potos� ",1.785798146,1.819555257,1.852304014,1.856595516,1.854265633,1.874807804,1.874528925,1.87701853,1.908346515,1.926602982,1.968317795,1.971203291,1.986556143,2.014214807,2.046634771,2.090569741
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Total de la actividad econ�mica Sinaloa ",2.13587722,2.181177318,2.140503711,2.117174434,2.144047875,2.196668363,2.220501387,2.17841684,2.142827349,2.139793578,2.135814271,2.116602461,2.164421035,2.216618771,2.198452661,2.205889518
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Total de la actividad econ�mica Sonora ",2.910507735,2.946084901,3.033336009,3.083865873,3.054463055,3.032177802,3.006724977,3.006479049,3.169646531,3.213831063,3.262341469,3.254445846,3.314995563,3.40906029,3.323674549,3.284194636
